"","county_name","county_pop2000","statename","stateabbrv","racial_segregation","inequality","poverty_rate","top_1per_income_share","frac_middleclass","unemp_rate","pop_change_80_2000","migration_inflow","migration_outflow","mean_household_income","median_house_value","hs_dropout_rate","percent_college_degree","crime_rate","region"
"41","Queens",2229379,"New York","NY",0.315557,0.4728111,0.1457365,0.10089,0.49505,0.0537676,0.1787392,0.028949766,0.045814103,34166.42,283395.8,NA,24.3,0.0087799,"new york"
"42","Rensselaer",152538,"New York","NY",0.1363123,0.3596697,0.0950079,0.08103,0.53802,0.0382987,0.003764,0.036699052,0.036272929,38362.68,137165.7,-0.0077963,23.7,0.0067786,"capital"
"43","Richmond",443728,"New York","NY",0.2009072,0.392201,0.1004654,0.0989,0.46259,0.0518279,0.2601577,0.032603307,0.035810226,43238.7,278730.3,NA,23.2,0.0087305,"new york"
"44","Rockland",286753,"New York","NY",0.1934817,0.4211381,0.0951264,0.13619,0.35356,0.0355538,0.1048935,0.024735574,0.034053698,52543.17,323252.5,-0.003448,37.5,0.0072955,"hudson valley"
"45","Saratoga",200635,"New York","NY",0.040431,0.3700462,0.0572237,0.14438,0.49097,0.0336909,0.3048667,0.045580283,0.039434795,42855.18,160493.2,-0.0034154,30.9,0.0051985,"capital"
"46","Schenectady",146555,"New York","NY",0.167712,0.4056003,0.1093403,0.09497,0.47691,0.0341583,-0.0226148,0.035235918,0.033523251,42309.24,125968.5,-0.0020782,26.3,0.0074852,"capital"
"47","Schoharie",31582,"New York","NY",0.040669,0.330982,0.1138675,0.0508,0.58424,0.0427484,0.0630091,0.023431068,0.01782661,32505.54,109972.5,-0.0075138,17.3,0.0052562,"mohawk valley"
"48","Schuyler",19224,"New York","NY",0.0460133,0.2990469,0.118355,0.04031,0.60298,0.0541167,0.0869614,0.024760716,0.023616313,31760.97,91177.2,-0.0037579,15.5,0.002913,"southern tier"
"49","Seneca",33342,"New York","NY",0.0614594,0.3216797,0.114842,0.06903,0.6113,0.0431516,-0.011591,0.020184752,0.026633075,32925.15,96509.2,0.0064601,17.5,0.0065083,"finger lakes"
"50","Steuben",98726,"New York","NY",0.0389334,0.45313,0.1323277,0.164,0.58862,0.0494344,-0.0049487,0.017948666,0.018151247,34949.8,88244.6,0.0001705,17.9,0.0048012,"southern tier"
"51","Suffolk",1419369,"New York","NY",0.2226883,0.4075974,0.059683,0.14226,0.47479,0.0383079,0.1052287,0.024101555,0.030896124,48824.27,246871.6,-0.0047868,27.5,0.0050459,"suffolk"
"52","Sullivan",73966,"New York","NY",0.1122082,0.4153736,0.1631153,0.07664,0.51914,0.045731,0.1352314,0.036313982,0.025457643,34077.86,124368.9,-0.0034981,16.7,0.009234,"hudson valley"
"53","Tioga",51784,"New York","NY",0.013358,0.3476491,0.0839704,0.10209,0.61297,0.0414075,0.0395889,0.028406458,0.026340182,35583.78,103174.2,-0.0070756,19.7,0.0028966,"southern tier"
"54","Tompkins",96501,"New York","NY",0.0992636,0.3928431,0.176305,0.08869,0.52684,0.0339314,0.1081242,0.022611165,0.032061844,31176.43,135432.8,-0.0211491,47.5,0.004974,"southern tier"
"55","Ulster",177749,"New York","NY",0.0992012,0.4068021,0.1141781,0.09579,0.52998,0.0381812,0.1238698,0.02900157,0.025046554,36691.89,150762.3,-0.0023537,25,0.0074093,"hudson valley"
"56","Warren",63303,"New York","NY",0.0152134,0.4289569,0.0973517,0.08231,0.55124,0.0445729,0.1540271,0.037802316,0.032131179,38520.27,129967.5,-0.0088683,23.2,0.0065242,"capital"
"57","Washington",61042,"New York","NY",0.2389326,0.3076298,0.0942531,0.04802,0.62207,0.0404929,0.1140068,0.031977982,0.029094722,32522.49,103174.2,-0.010657,14.3,0.0038662,"capital"
"58","Wayne",93765,"New York","NY",0.0582573,0.3195646,0.0862148,0.08754,0.59149,0.0464155,0.1085823,0.026534421,0.024881352,36047.76,114238.1,0.0009903,17,0.006079,"finger lakes"
"59","Westchester",923459,"New York","NY",0.2446953,0.5508111,0.0875294,0.24789,0.35582,0.0380411,0.0656128,0.028751683,0.038893985,68847.94,434291.4,0.0078831,40.9,0.0057599,"hudson valley"
"60","Wyoming",43424,"New York","NY",0.2181284,0.3251337,0.0838408,0.11463,0.6663,0.0494237,0.0884572,0.025078298,0.024364407,28428.38,98642,-0.0190726,11.5,0.0052823,"finger lakes"
"61","Yates",24621,"New York","NY",0.0076638,0.3098952,0.1314606,0.04948,0.60743,0.038433,0.1473508,0.023922668,0.023029122,31999.88,100774.8,-0.0241873,18.2,0.0041834,"finger lakes"
